ENTREZ_ID,GENESYMBOLS
1058,AT1G01840
1059,CESA10
1060,FDM2
1061,AT4G14615
1062,RPP1
1063,AT5G51140
1064,HDS
1065,AT1G68700
1066,AT1G10720
1067,ABCI2
1068,ORF315
1069,AT2G44410
1070,AT1G69710
1071,PP2A-2
1072,MTN1
1073,AT2G47480
1074,PGRL1B
1075,AT1G22900
1076,AT1G53460
1077,AT3G48660
1078,AT5G33404
1079,AT1G73325
1080,AT2G31820
1081,AT5G25940
1082,AT3G02880
1083,AT3G12050
1084,AT5G51400
1085,AT2G46580
1086,APG12B
1087,AT4G10845
1088,AT1G51650
1089,AT4G12790
1090,AT1G56230
1091,SAUR75
1092,MEE69
1093,NPQ4
1094,AT5G53650
1095,AT3G13900
1096,AT5G45960
1097,AT4G03230
1098,AT5G52930
1099,NRAMP6
1100,AT3G09310
1101,AT3G29680
1102,AT5G39940
1103,AT2G35736
1104,AT2G25260
1105,AT5G19960
1106,P5CR
1107,AT5G14830
1108,AT5G35420
1109,AT5G51470
1110,LSU4
1111,PR5K
1112,AT3G30460
1113,IAA8
1114,AT1G56120
1115,AT1G67350
1116,PME2
1117,AT3G49640
1118,AT5G28773
1119,AT5G38050
1120,AT2G44700
1121,AT4G10200
1122,AT2G05280
1123,AT1G18530
1124,ARFA1F
1125,LBD21
1126,AT2G37540
1127,ERD2
1128,TCP9
1129,CRR3
1130,NF-YB1
1131,TOPP9
1132,A/N-InvD
1133,AT1G75860
1134,AT5G49580
1135,AT5G39450
1136,TRB1
1137,HB30
1138,AT2G22790
1139,AT3G62870
1140,EGY3
1141,AT5G27810
1142,AT3G62580
1143,AT4G29548
1144,CHX18
1145,RALF23
1146,OFP10
1147,AT2G38640
1148,AT1G25390
1149,SLD2
1150,AT3G12030
1151,NdhM
1152,DML3
1153,PMAT2
1154,ATP3
1155,AT3G53730
1156,AT3G47560
1157,DET3
1158,AT1G16930
1159,BGLU47
1160,AT4G15620
1161,AT5G48770
1162,AT3G50290
1163,AT1G74510
1164,HB22
1165,AT3G11420
1166,AT2G11140
1167,AT3G57120
1168,JAL23
1169,AT4G26965
1170,TCP20
1171,AT4G18460
1172,RAD52-1
1173,PAI2
1174,AT2G34010
1175,PP2-A15
1176,MTO3
1177,AT4G17440
1178,ERD15
1179,AT1G56190
1180,AT5G26720
1181,AT4G14342
1182,AT5G28830
1183,AT2G01100
1184,AT4G33970
1185,AT1G61300
1186,AE7
1187,SAUL1
1188,WOX13
1189,AT3G20350
1190,AT2G30720
1191,AT3G16700
1192,AT5G60820
1193,AT1G09160
1194,GATL3
1195,NFC5
1196,NADK1
1197,AT1G01260)
1198,HSBP
1199,AT5G36930
1200,AT1G63080
1201,ESE2
1202,MBP1
1203,AT2G32380
1204,AT2G34970
1205,BGLU5
1206,AT2G25210
1207,LSU2
1208,AT1G48820
1209,BT1
1210,ATBET12
1211,BSK7
1212,ADF6
1213,UCP3
1214,AT3G09980
1215,FAP3
1216,AT5G46500
1217,CRF6
1218,MEE20
1219,AT1G53080
1220,AT1G11500
1221,FMA
1222,ERO1
1223,CML42
1224,AT1G04850
1225,HB4
1226,DRB5
1227,AT4G30060
1228,AT5G23890
1229,AT3G15180
1230,MUB4
1231,AT3G27930
1232,NACA2
1233,SAUR29
1234,AT3G29280
1235,AT3G47965
1236,AT4G22940
1237,AT1G30550
1238,FLA16
1239,AT3G54270
1240,AT3G21950
1241,AT5G19730
1242,AT5G37290
1243,AT1G19970
1244,AT5G10350
1245,AT3G23300
1246,AT1G34844
1247,SYP123
1248,AT4G13500
1249,XID
1250,AT2G31150
1251,AT5G26610
1252,AT4G37608
1253,AT1G21440
1254,IQD23
1255,LOH1
1256,AT5G67410
1257,AT3G55140
1258,AT1G30515
1259,AT1G12490
1260,AT3G45930
1261,AT3G24530
1262,POLL
1263,AT3G11390
1264,AT4G17470
1265,AT2G28140
1266,AT3G18510
1267,AT1G72420
1268,AT5G52220
1269,AT1G11490
1270,AT1G14820
1271,AT1G19990
1272,AT5G53592
1273,AT4G09012
1274,AT2G31725
1275,AT3G14220
1276,RALFL31
1277,RHC2A
1278,AT1G07660
1279,AT5G26990
1280,AT4G39930
1281,AT3G49800
1282,AT4G39925
1283,ACO2
1284,AT1G03935
1285,AT1G36272
1286,CCH
1287,RTL3
1288,TRXF1
1289,MATR
1290,AT3G23600
1291,NUDX26
1292,GAMMA CAL2
1293,PLMT
1294,AT1G18030
1295,AT4G04925
1296,AT1G72430
1297,AT1G78750
1298,SDH7
1299,AT5G40960
1300,AT3G55710
1301,AT1G68945
1302,AT4G33310
1303,DPA4
1304,AT2G07711
1305,AT5G28040
1306,AT5G58330
1307,AT5G18362
1308,AT3G59490
1309,AT5G45440
1310,COX1
1311,CAX2
1312,ORF149
1313,AARE
1314,PEL1
1315,NAD5
1316,AT4G28440
1317,HOT5
1318,AT1G29040
1319,AT1G76110
1320,TRXF2
1321,AT5G65760
1322,CRK40
1323,AT5G03285
1324,AT1G79970
1325,AT4G02405
1326,AT2G25355
1327,D-CDES
1328,IDH2
1329,DJ1D
1330,AT1G11590
1331,AT5G35794
1332,AT3G60910
1333,AT5G05100
1334,ELF4-L3
1335,AT1G74530
1336,ATMRK1
1337,AT5G59630
1338,AT1G15160
1339,AT5G17090
1340,AT3G43310
1341,AAE1
1342,AT3G03890
1343,AT3G32920
1344,AT2G24681
1345,AT4G22580
1346,GLR2
1347,AT1G68570
1348,AT2G17320
1349,AT3G62000
1350,AT4G03292
1351,AT4G17940
1352,AT2G04795
1353,SMT2
1354,OS9
1355,AT5G03030
1356,RRA2
1357,AT1G78560
1358,AT5G47570
1359,RECQ4B
1360,AT2G07677
1361,AT3G02360
1362,AT1G07440
1363,AT2G07806
1364,AT1G59710
1365,AT4G00390
1366,PGLP1
1367,bHLH121
1368,AT2G16595
1369,NHX6
1370,AT1G48060
1371,AT3G62190
1372,AT1G68680
1373,AT2G07787
1374,IMPA-8
1375,TIM23-2
1376,AT4G37620
1377,AT5G11900
1378,AT3G59780
1379,AT1G47370
1380,AT5G02510
1381,LAP1
1382,CAX3
1383,AT1G35350
1384,AT1G78760
