GENESYMBOLS,ENTREZ_ID,,
AT3G12587,1030,,
AT5G25560,1031,,
AT5G25990,1032,,
ORF240A,1033,,
HRS1,1034,,
AT4G32670,1035,,
AT1G62914,1036,,
AT1G68585,1037,,
AT4G29590,1038,,
AT2G27340,1039,,
MPI7,1040,,
IDD1,1041,,
AT1G48860,1042,,
TSC10A,1043,,
LUL1,1044,,
PTAC5,1045,,
AT1G49640,1046,,
PH1,1047,,
AT3G44220,1048,,
AT2G18180,1049,,
AT4G16450,1050,,
AT3G57990,1051,,
U2.5,1052,,
APRL4,1053,,
AT1G51430,1054,,
ROPGAP3,1055,,
AT1G48390,1056,,
AT4G01925,1057,,
AT1G01840,1058,,
CESA10,1059,,
FDM2,1060,,
AT4G14615,1061,,
RPP1,1062,,
AT5G51140,1063,,
HDS,1064,,
AT1G68700,1065,,
AT1G10720,1066,,
ABCI2,1067,,
ORF315,1068,,
AT2G44410,1069,,
AT1G69710,1070,,
PP2A-2,1071,,
MTN1,1072,,
AT2G47480,1073,,
PGRL1B,1074,,
AT1G22900,1075,,
AT1G53460,1076,,
AT3G48660,1077,,
AT5G33404,1078,,
AT1G73325,1079,,
AT2G31820,1080,,
AT5G25940,1081,,
AT3G02880,1082,,
AT3G12050,1083,,
AT5G51400,1084,,
AT2G46580,1085,,
APG12B,1086,,
AT4G10845,1087,,
AT1G51650,1088,,
AT4G12790,1089,,
AT1G56230,1090,,
SAUR75,1091,,
MEE69,1092,,
NPQ4,1093,,
AT5G53650,1094,,
AT3G13900,1095,,
AT5G45960,1096,,
AT4G03230,1097,,
AT5G52930,1098,,
NRAMP6,1099,,
AT3G09310,1100,,
AT3G29680,1101,,
AT5G39940,1102,,
AT2G35736,1103,,
AT2G25260,1104,,
AT5G19960,1105,,
P5CR,1106,,
AT5G14830,1107,,
AT5G35420,1108,,
AT5G51470,1109,,
LSU4,1110,,
PR5K,1111,,
AT3G30460,1112,,
IAA8,1113,,
AT1G56120,1114,,
AT1G67350,1115,,
PME2,1116,,
AT3G49640,1117,,
AT5G28773,1118,,
AT5G38050,1119,,
AT2G44700,1120,,
AT4G10200,1121,,
AT2G05280,1122,,
AT1G18530,1123,,
ARFA1F,1124,,
LBD21,1125,,
AT2G37540,1126,,
ERD2,1127,,
TCP9,1128,,
CRR3,1129,,
NF-YB1,1130,,
TOPP9,1131,,
A/N-InvD,1132,,
AT1G75860,1133,,
AT5G49580,1134,,
AT5G39450,1135,,
TRB1,1136,,
HB30,1137,,
AT2G22790,1138,,
AT3G62870,1139,,
EGY3,1140,,
AT5G27810,1141,,
AT3G62580,1142,,
AT4G29548,1143,,
CHX18,1144,,
RALF23,1145,,
OFP10,1146,,
AT2G38640,1147,,
AT1G25390,1148,,
SLD2,1149,,
AT3G12030,1150,,
NdhM,1151,,
DML3,1152,,
PMAT2,1153,,
ATP3,1154,,
AT3G53730,1155,,
AT3G47560,1156,,
DET3,1157,,
AT1G16930,1158,,
BGLU47,1159,,
AT4G15620,1160,,
AT5G48770,1161,,
AT3G50290,1162,,
AT1G74510,1163,,
HB22,1164,,
AT3G11420,1165,,
AT2G11140,1166,,
AT3G57120,1167,,
JAL23,1168,,
AT4G26965,1169,,
TCP20,1170,,
AT4G18460,1171,,
RAD52-1,1172,,
PAI2,1173,,
AT2G34010,1174,,
PP2-A15,1175,,
MTO3,1176,,
AT4G17440,1177,,
ERD15,1178,,
AT1G56190,1179,,
AT5G26720,1180,,
AT4G14342,1181,,
AT5G28830,1182,,
AT2G01100,1183,,
AT4G33970,1184,,
AT1G61300,1185,,
AE7,1186,,
SAUL1,1187,,
WOX13,1188,,
AT3G20350,1189,,
AT2G30720,1190,,
AT3G16700,1191,,
AT5G60820,1192,,
AT1G09160,1193,,
GATL3,1194,,
NFC5,1195,,
NADK1,1196,,
AT1G01260),1197,,
HSBP,1198,,
AT5G36930,1199,,
AT1G63080,1200,,
ESE2,1201,,
MBP1,1202,,
AT2G32380,1203,,
AT2G34970,1204,,
BGLU5,1205,,
AT2G25210,1206,,
LSU2,1207,,
AT1G48820,1208,,
BT1,1209,,
ATBET12,1210,,
BSK7,1211,,
ADF6,1212,,
UCP3,1213,,
AT3G09980,1214,,
FAP3,1215,,
AT5G46500,1216,,
CRF6,1217,,
MEE20,1218,,
AT1G53080,1219,,
AT1G11500,1220,,
FMA,1221,,
ERO1,1222,,
CML42,1223,,
AT1G04850,1224,,
HB4,1225,,
DRB5,1226,,
AT4G30060,1227,,
AT5G23890,1228,,
AT3G15180,1229,,
MUB4,1230,,
AT3G27930,1231,,
NACA2,1232,,
SAUR29,1233,,
AT3G29280,1234,,
AT3G47965,1235,,
AT4G22940,1236,,
AT1G30550,1237,,
FLA16,1238,,
AT3G54270,1239,,
AT3G21950,1240,,
AT5G19730,1241,,
AT5G37290,1242,,
AT1G19970,1243,,
AT5G10350,1244,,
AT3G23300,1245,,
AT1G34844,1246,,
SYP123,1247,,
AT4G13500,1248,,
XID,1249,,
AT2G31150,1250,,
AT5G26610,1251,,
AT4G37608,1252,,
AT1G21440,1253,,
IQD23,1254,,
LOH1,1255,,
AT5G67410,1256,,
AT3G55140,1257,,
AT1G30515,1258,,
AT1G12490,1259,,
AT3G45930,1260,,
AT3G24530,1261,,
POLL,1262,,
AT3G11390,1263,,
AT4G17470,1264,,
AT2G28140,1265,,
AT3G18510,1266,,
AT1G72420,1267,,
AT5G52220,1268,,
AT1G11490,1269,,
AT1G14820,1270,,
AT1G19990,1271,,
AT5G53592,1272,,
AT4G09012,1273,,
AT2G31725,1274,,
AT3G14220,1275,,
RALFL31,1276,,
RHC2A,1277,,
AT1G07660,1278,,
AT5G26990,1279,,
AT4G39930,1280,,
AT3G49800,1281,,
AT4G39925,1282,,
ACO2,1283,,
AT1G03935,1284,,
AT1G36272,1285,,
CCH,1286,,
RTL3,1287,,
TRXF1,1288,,
MATR,1289,,
AT3G23600,1290,,
NUDX26,1291,,
GAMMA CAL2,1292,,
PLMT,1293,,
AT1G18030,1294,,
AT4G04925,1295,,
AT1G72430,1296,,
AT1G78750,1297,,
SDH7,1298,,
AT5G40960,1299,,
AT3G55710,1300,,
AT1G68945,1301,,
AT4G33310,1302,,
DPA4,1303,,
AT2G07711,1304,,
